,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
338,0.84570235,1.9684957,3.6273513,,19351,44785,,6.139371e-07,3.3551906e-08,1.7156249e-06,1.7396867e-05,4.627912e-07,,5.595645e-07,7.544391e-08,1.591892e-06,1.52299535e-05,7.465652e-07,
339,2.8907087,0.8558517,2.2791555,,47249,224,,3.832012e-07,8.132384e-09,1.9003467e-06,1.1339181e-05,0.00013969524,,7.866963e-07,1.3809064e-08,2.67582e-06,5.715231e-06,0.0001875034,
340,5.1404247,2.9003212,2.4981298,,40516,35147,,1.4461878e-07,1.9895172e-06,1.308441e-07,3.949772e-07,1.2326028e-07,,2.913903e-07,2.6801667e-06,3.338126e-07,8.5036237e-07,2.2857253e-07,
341,1.2313305,8.323102,4.367251,,42859,48162,,2.1338574e-06,6.461716e-09,1.3578996e-05,2.5570918e-10,4.665606e-08,,2.4384794e-06,1.7139545e-08,1.4631491e-05,8.0238005e-10,7.681832e-08,
342,3.219242,2.3584912,6.0880523,,982,19529,,8.706194e-08,4.929484e-07,2.0436134e-07,3.5449086e-06,9.063574e-10,,2.2164183e-07,1.1042639e-06,2.5842172e-07,3.7322259e-06,2.4632383e-09,
343,1.4594895,8.827658,11.041191,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.6749202e-07,8.821915e-08,9.370775e-06,2.7998817e-07,3.9395897e-07,
344,1.9685493,4.1970015,5.1451163,,8980,91,,6.8342865e-07,0.00020635292,4.5211493e-08,1.23336195e-08,1.6899881e-07,,8.7940373e-07,0.0004239332,6.916717e-08,2.5196652e-08,4.2324518e-07,
345,1.5275524,2.473512,2.1270564,,44785,19351,,5.148821e-07,8.666805e-06,1.3172676e-06,5.8142987e-08,1.15167595e-05,,6.2746744e-07,1.6001864e-05,1.6511506e-06,7.789325e-08,1.3267763e-05,
346,2.0555906,3.3008602,2.5591,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763395e-07,1.8515568e-05,,8.7940373e-07,5.8982515e-12,1.3869663e-07,1.1534264e-06,1.6958451e-05,
347,1.6858054,2.0026767,3.145603,,5835,30933,,9.864217e-09,9.652672e-10,2.4124237e-08,2.1689873e-07,2.132943e-05,,1.08475895e-08,1.9873814e-09,3.6982e-08,2.1097655e-07,3.258738e-05,
348,2.6748834,4.43646,18.710785,,44386,25998,,3.874492e-07,5.80124e-09,1.9377795e-08,3.8522865e-09,2.8726134e-11,,4.6513307e-07,1.1596787e-08,4.3176435e-08,8.549452e-09,2.688762e-10,
349,1.1409392,9.413799,4.564756,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,9.927544e-06,7.8071927e-10,5.160167e-06,1.7704204e-08,3.7469377e-07,
350,1.3248502,2.9235353,2.7483547,,47903,27072,,9.864217e-09,4.879128e-07,5.772929e-07,1.4590094e-09,1.10074865e-07,,1.08475895e-08,6.541021e-07,6.9549236e-07,3.1817287e-09,2.2566158e-07,
351,4.7023296,6.7939487,12.792437,,38093,50155,,3.687785e-07,3.054984e-06,4.2403983e-09,1.1824111e-09,3.989001e-11,,5.339902e-07,5.752654e-06,1.3770574e-08,4.266104e-09,2.7099303e-10,
352,1.849448,5.520518,12.775738,,23287,8115,,2.7900478e-07,1.4238076e-06,2.4107621e-06,8.225869e-09,4.1915433e-11,,4.6024581e-07,2.887257e-06,2.702827e-06,2.2393781e-08,2.6407407e-10,
353,0.9398556,2.2216074,2.9348946,,19529,650,,1.0932107e-05,9.150483e-06,1.992367e-06,8.382823e-07,6.5606134e-09,,8.1181915e-06,1.490024e-05,2.5215934e-06,1.1436902e-06,1.1824634e-08,
354,0.84570235,1.9684957,3.6273513,,19351,44785,,6.139371e-07,3.3551906e-08,1.7156249e-06,1.7396867e-05,4.627912e-07,,5.595645e-07,7.544391e-08,1.591892e-06,1.52299535e-05,7.465652e-07,
355,2.8907087,0.8558517,2.2791555,,47249,224,,3.832012e-07,8.132384e-09,1.9003467e-06,1.1339181e-05,0.00013969524,,7.866963e-07,1.3809064e-08,2.67582e-06,5.715231e-06,0.0001875034,
356,5.1404247,2.9003212,2.4981298,,40516,35147,,1.4461878e-07,1.9895172e-06,1.308441e-07,3.949772e-07,1.2326028e-07,,2.913903e-07,2.6801667e-06,3.338126e-07,8.5036237e-07,2.2857253e-07,
357,1.2313305,8.323102,4.367251,,42859,48162,,2.1338574e-06,6.461716e-09,1.3578996e-05,2.5570918e-10,4.665606e-08,,2.4384794e-06,1.7139545e-08,1.4631491e-05,8.0238005e-10,7.681832e-08,
358,3.219242,2.3584912,6.0880523,,982,19529,,8.706194e-08,4.929484e-07,2.0436134e-07,3.5449086e-06,9.063574e-10,,2.2164183e-07,1.1042639e-06,2.5842172e-07,3.7322259e-06,2.4632383e-09,
359,1.4594895,8.827658,11.041191,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.6749202e-07,8.821915e-08,9.370775e-06,2.7998817e-07,3.9395897e-07,
360,1.9685493,4.1970015,5.1451163,,8980,91,,6.8342865e-07,0.00020635292,4.5211493e-08,1.23336195e-08,1.6899881e-07,,8.7940373e-07,0.0004239332,6.916717e-08,2.5196652e-08,4.2324518e-07,
361,1.5275524,2.473512,2.1270564,,44785,19351,,5.148821e-07,8.666805e-06,1.3172676e-06,5.8142987e-08,1.15167595e-05,,6.2746744e-07,1.6001864e-05,1.6511506e-06,7.789325e-08,1.3267763e-05,
362,2.0555906,3.3008602,2.5591,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763395e-07,1.8515568e-05,,8.7940373e-07,5.8982515e-12,1.3869663e-07,1.1534264e-06,1.6958451e-05,
363,1.6858054,2.0026767,3.145603,,5835,30933,,9.864217e-09,9.652672e-10,2.4124237e-08,2.1689873e-07,2.132943e-05,,1.08475895e-08,1.9873814e-09,3.6982e-08,2.1097655e-07,3.258738e-05,
364,2.6748834,4.43646,18.710785,,44386,25998,,3.874492e-07,5.80124e-09,1.9377795e-08,3.8522865e-09,2.8726134e-11,,4.6513307e-07,1.1596787e-08,4.3176435e-08,8.549452e-09,2.688762e-10,
365,1.1409392,9.413799,4.564756,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,9.927544e-06,7.8071927e-10,5.160167e-06,1.7704204e-08,3.7469377e-07,
366,1.3248502,2.9235353,2.7483547,,47903,27072,,9.864217e-09,4.879128e-07,5.772929e-07,1.4590094e-09,1.10074865e-07,,1.08475895e-08,6.541021e-07,6.9549236e-07,3.1817287e-09,2.2566158e-07,
367,4.7023296,6.7939487,12.792437,,38093,50155,,3.687785e-07,3.054984e-06,4.2403983e-09,1.1824111e-09,3.989001e-11,,5.339902e-07,5.752654e-06,1.3770574e-08,4.266104e-09,2.7099303e-10,
368,1.849448,5.520518,12.775738,,23287,8115,,2.7900478e-07,1.4238076e-06,2.4107621e-06,8.225869e-09,4.1915433e-11,,4.6024581e-07,2.887257e-06,2.702827e-06,2.2393781e-08,2.6407407e-10,
369,0.9398556,2.2216074,2.9348946,,19529,650,,1.0932107e-05,9.150483e-06,1.992367e-06,8.382823e-07,6.5606134e-09,,8.1181915e-06,1.490024e-05,2.5215934e-06,1.1436902e-06,1.1824634e-08,
370,0.84570235,1.9684957,3.6273513,,19351,44785,,6.139371e-07,3.3551906e-08,1.7156249e-06,1.7396867e-05,4.627912e-07,,5.595645e-07,7.544391e-08,1.591892e-06,1.52299535e-05,7.465652e-07,
371,2.8907087,0.8558517,2.2791555,,47249,224,,3.832012e-07,8.132384e-09,1.9003467e-06,1.1339181e-05,0.00013969524,,7.866963e-07,1.3809064e-08,2.67582e-06,5.715231e-06,0.0001875034,
372,5.1404247,2.9003212,2.4981298,,40516,35147,,1.4461878e-07,1.9895172e-06,1.308441e-07,3.949772e-07,1.2326028e-07,,2.913903e-07,2.6801667e-06,3.338126e-07,8.5036237e-07,2.2857253e-07,
373,1.2313305,8.323102,4.367251,,42859,48162,,2.1338574e-06,6.461716e-09,1.3578996e-05,2.5570918e-10,4.665606e-08,,2.4384794e-06,1.7139545e-08,1.4631491e-05,8.0238005e-10,7.681832e-08,
374,3.219242,2.3584912,6.0880523,,982,19529,,8.706194e-08,4.929484e-07,2.0436134e-07,3.5449086e-06,9.063574e-10,,2.2164183e-07,1.1042639e-06,2.5842172e-07,3.7322259e-06,2.4632383e-09,
375,1.4594895,8.827658,11.041191,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.6749202e-07,8.821915e-08,9.370775e-06,2.7998817e-07,3.9395897e-07,
376,1.9685493,4.1970015,5.1451163,,8980,91,,6.8342865e-07,0.00020635292,4.5211493e-08,1.23336195e-08,1.6899881e-07,,8.7940373e-07,0.0004239332,6.916717e-08,2.5196652e-08,4.2324518e-07,
377,1.5275524,2.473512,2.1270564,,44785,19351,,5.148821e-07,8.666805e-06,1.3172676e-06,5.8142987e-08,1.15167595e-05,,6.2746744e-07,1.6001864e-05,1.6511506e-06,7.789325e-08,1.3267763e-05,
378,2.0555906,3.3008602,2.5591,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763395e-07,1.8515568e-05,,8.7940373e-07,5.8982515e-12,1.3869663e-07,1.1534264e-06,1.6958451e-05,
379,1.6858054,2.0026767,3.145603,,5835,30933,,9.864217e-09,9.652672e-10,2.4124237e-08,2.1689873e-07,2.132943e-05,,1.08475895e-08,1.9873814e-09,3.6982e-08,2.1097655e-07,3.258738e-05,
380,2.6748834,4.43646,18.710785,,44386,25998,,3.874492e-07,5.80124e-09,1.9377795e-08,3.8522865e-09,2.8726134e-11,,4.6513307e-07,1.1596787e-08,4.3176435e-08,8.549452e-09,2.688762e-10,
381,1.1409392,9.413799,4.564756,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,9.927544e-06,7.8071927e-10,5.160167e-06,1.7704204e-08,3.7469377e-07,
382,1.3248502,2.9235353,2.7483547,,47903,27072,,9.864217e-09,4.879128e-07,5.772929e-07,1.4590094e-09,1.10074865e-07,,1.08475895e-08,6.541021e-07,6.9549236e-07,3.1817287e-09,2.2566158e-07,
383,4.7023296,6.7939487,12.792437,,38093,50155,,3.687785e-07,3.054984e-06,4.2403983e-09,1.1824111e-09,3.989001e-11,,5.339902e-07,5.752654e-06,1.3770574e-08,4.266104e-09,2.7099303e-10,
384,1.849448,5.520518,12.775738,,23287,8115,,2.7900478e-07,1.4238076e-06,2.4107621e-06,8.225869e-09,4.1915433e-11,,4.6024581e-07,2.887257e-06,2.702827e-06,2.2393781e-08,2.6407407e-10,
385,0.9398556,2.2216074,2.9348946,,19529,650,,1.0932107e-05,9.150483e-06,1.992367e-06,8.382823e-07,6.5606134e-09,,8.1181915e-06,1.490024e-05,2.5215934e-06,1.1436902e-06,1.1824634e-08,
386,0.84570235,1.9684957,3.6273513,,19351,44785,,6.139371e-07,3.3551906e-08,1.7156249e-06,1.7396867e-05,4.627912e-07,,5.595645e-07,7.544391e-08,1.591892e-06,1.52299535e-05,7.465652e-07,
387,2.8907087,0.8558517,2.2791555,,47249,224,,3.832012e-07,8.132384e-09,1.9003467e-06,1.1339181e-05,0.00013969524,,7.866963e-07,1.3809064e-08,2.67582e-06,5.715231e-06,0.0001875034,
388,5.1404247,2.9003212,2.4981298,,40516,35147,,1.4461878e-07,1.9895172e-06,1.308441e-07,3.949772e-07,1.2326028e-07,,2.913903e-07,2.6801667e-06,3.338126e-07,8.5036237e-07,2.2857253e-07,
389,1.2313305,8.323102,4.367251,,42859,48162,,2.1338574e-06,6.461716e-09,1.3578996e-05,2.5570918e-10,4.665606e-08,,2.4384794e-06,1.7139545e-08,1.4631491e-05,8.0238005e-10,7.681832e-08,
390,3.219242,2.3584912,6.0880523,,982,19529,,8.706194e-08,4.929484e-07,2.0436134e-07,3.5449086e-06,9.063574e-10,,2.2164183e-07,1.1042639e-06,2.5842172e-07,3.7322259e-06,2.4632383e-09,
391,1.4594895,8.827658,11.041191,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.6749202e-07,8.821915e-08,9.370775e-06,2.7998817e-07,3.9395897e-07,
392,1.9685493,4.1970015,5.1451163,,8980,91,,6.8342865e-07,0.00020635292,4.5211493e-08,1.23336195e-08,1.6899881e-07,,8.7940373e-07,0.0004239332,6.916717e-08,2.5196652e-08,4.2324518e-07,
393,1.5275524,2.473512,2.1270564,,44785,19351,,5.148821e-07,8.666805e-06,1.3172676e-06,5.8142987e-08,1.15167595e-05,,6.2746744e-07,1.6001864e-05,1.6511506e-06,7.789325e-08,1.3267763e-05,
394,2.0555906,3.3008602,2.5591,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763395e-07,1.8515568e-05,,8.7940373e-07,5.8982515e-12,1.3869663e-07,1.1534264e-06,1.6958451e-05,
395,1.6858054,2.0026767,3.145603,,5835,30933,,9.864217e-09,9.652672e-10,2.4124237e-08,2.1689873e-07,2.132943e-05,,1.08475895e-08,1.9873814e-09,3.6982e-08,2.1097655e-07,3.258738e-05,
396,2.6748834,4.43646,18.710785,,44386,25998,,3.874492e-07,5.80124e-09,1.9377795e-08,3.8522865e-09,2.8726134e-11,,4.6513307e-07,1.1596787e-08,4.3176435e-08,8.549452e-09,2.688762e-10,
397,1.1409392,9.413799,4.564756,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,9.927544e-06,7.8071927e-10,5.160167e-06,1.7704204e-08,3.7469377e-07,
398,1.3248502,2.9235353,2.7483547,,47903,27072,,9.864217e-09,4.879128e-07,5.772929e-07,1.4590094e-09,1.10074865e-07,,1.08475895e-08,6.541021e-07,6.9549236e-07,3.1817287e-09,2.2566158e-07,
399,4.7023296,6.7939487,12.792437,,38093,50155,,3.687785e-07,3.054984e-06,4.2403983e-09,1.1824111e-09,3.989001e-11,,5.339902e-07,5.752654e-06,1.3770574e-08,4.266104e-09,2.7099303e-10,
400,1.849448,5.520518,12.775738,,23287,8115,,2.7900478e-07,1.4238076e-06,2.4107621e-06,8.225869e-09,4.1915433e-11,,4.6024581e-07,2.887257e-06,2.702827e-06,2.2393781e-08,2.6407407e-10,
401,0.9398556,2.2216074,2.9348946,,19529,650,,1.0932107e-05,9.150483e-06,1.992367e-06,8.382823e-07,6.5606134e-09,,8.1181915e-06,1.490024e-05,2.5215934e-06,1.1436902e-06,1.1824634e-08,
402,0.84570235,1.9684957,3.6273513,,19351,44785,,6.139371e-07,3.3551906e-08,1.7156249e-06,1.7396867e-05,4.627912e-07,,5.595645e-07,7.544391e-08,1.591892e-06,1.52299535e-05,7.465652e-07,
403,2.8907087,0.8558517,2.2791555,,47249,224,,3.832012e-07,8.132384e-09,1.9003467e-06,1.1339181e-05,0.00013969524,,7.866963e-07,1.3809064e-08,2.67582e-06,5.715231e-06,0.0001875034,
404,5.1404247,2.9003212,2.4981298,,40516,35147,,1.4461878e-07,1.9895172e-06,1.308441e-07,3.949772e-07,1.2326028e-07,,2.913903e-07,2.6801667e-06,3.338126e-07,8.5036237e-07,2.2857253e-07,
405,1.2313305,8.323102,4.367251,,42859,48162,,2.1338574e-06,6.461716e-09,1.3578996e-05,2.5570918e-10,4.665606e-08,,2.4384794e-06,1.7139545e-08,1.4631491e-05,8.0238005e-10,7.681832e-08,
406,3.219242,2.3584912,6.0880523,,982,19529,,8.706194e-08,4.929484e-07,2.0436134e-07,3.5449086e-06,9.063574e-10,,2.2164183e-07,1.1042639e-06,2.5842172e-07,3.7322259e-06,2.4632383e-09,
407,1.4594895,8.827658,11.041191,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.6749202e-07,8.821915e-08,9.370775e-06,2.7998817e-07,3.9395897e-07,
408,1.9685493,4.1970015,5.1451163,,8980,91,,6.8342865e-07,0.00020635292,4.5211493e-08,1.23336195e-08,1.6899881e-07,,8.7940373e-07,0.0004239332,6.916717e-08,2.5196652e-08,4.2324518e-07,
409,1.5275524,2.473512,2.1270564,,44785,19351,,5.148821e-07,8.666805e-06,1.3172676e-06,5.8142987e-08,1.15167595e-05,,6.2746744e-07,1.6001864e-05,1.6511506e-06,7.789325e-08,1.3267763e-05,
410,2.0555906,3.3008602,2.5591,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763395e-07,1.8515568e-05,,8.7940373e-07,5.8982515e-12,1.3869663e-07,1.1534264e-06,1.6958451e-05,
411,1.6858054,2.0026767,3.145603,,5835,30933,,9.864217e-09,9.652672e-10,2.4124237e-08,2.1689873e-07,2.132943e-05,,1.08475895e-08,1.9873814e-09,3.6982e-08,2.1097655e-07,3.258738e-05,
412,2.6748834,4.43646,18.710785,,44386,25998,,3.874492e-07,5.80124e-09,1.9377795e-08,3.8522865e-09,2.8726134e-11,,4.6513307e-07,1.1596787e-08,4.3176435e-08,8.549452e-09,2.688762e-10,
413,1.1409392,9.413799,4.564756,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,9.927544e-06,7.8071927e-10,5.160167e-06,1.7704204e-08,3.7469377e-07,
414,1.3248502,2.9235353,2.7483547,,47903,27072,,9.864217e-09,4.879128e-07,5.772929e-07,1.4590094e-09,1.10074865e-07,,1.08475895e-08,6.541021e-07,6.9549236e-07,3.1817287e-09,2.2566158e-07,
415,4.7023296,6.7939487,12.792437,,38093,50155,,3.687785e-07,3.054984e-06,4.2403983e-09,1.1824111e-09,3.989001e-11,,5.339902e-07,5.752654e-06,1.3770574e-08,4.266104e-09,2.7099303e-10,
416,1.849448,5.520518,12.775738,,23287,8115,,2.7900478e-07,1.4238076e-06,2.4107621e-06,8.225869e-09,4.1915433e-11,,4.6024581e-07,2.887257e-06,2.702827e-06,2.2393781e-08,2.6407407e-10,
417,0.9398556,2.2216074,2.9348946,,19529,650,,1.0932107e-05,9.150483e-06,1.992367e-06,8.382823e-07,6.5606134e-09,,8.1181915e-06,1.490024e-05,2.5215934e-06,1.1436902e-06,1.1824634e-08,
418,0.84570235,1.9684957,3.6273513,,19351,44785,,6.139371e-07,3.3551906e-08,1.7156249e-06,1.7396867e-05,4.627912e-07,,5.595645e-07,7.544391e-08,1.591892e-06,1.52299535e-05,7.465652e-07,
419,2.8907087,0.8558517,2.2791555,,47249,224,,3.832012e-07,8.132384e-09,1.9003467e-06,1.1339181e-05,0.00013969524,,7.866963e-07,1.3809064e-08,2.67582e-06,5.715231e-06,0.0001875034,
420,5.1404247,2.9003212,2.4981298,,40516,35147,,1.4461878e-07,1.9895172e-06,1.308441e-07,3.949772e-07,1.2326028e-07,,2.913903e-07,2.6801667e-06,3.338126e-07,8.5036237e-07,2.2857253e-07,
421,1.2313305,8.323102,4.367251,,42859,48162,,2.1338574e-06,6.461716e-09,1.3578996e-05,2.5570918e-10,4.665606e-08,,2.4384794e-06,1.7139545e-08,1.4631491e-05,8.0238005e-10,7.681832e-08,
422,3.219242,2.3584912,6.0880523,,982,19529,,8.706194e-08,4.929484e-07,2.0436134e-07,3.5449086e-06,9.063574e-10,,2.2164183e-07,1.1042639e-06,2.5842172e-07,3.7322259e-06,2.4632383e-09,
423,1.4594895,8.827658,11.041191,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.6749202e-07,8.821915e-08,9.370775e-06,2.7998817e-07,3.9395897e-07,
424,1.9685493,4.1970015,5.1451163,,8980,91,,6.8342865e-07,0.00020635292,4.5211493e-08,1.23336195e-08,1.6899881e-07,,8.7940373e-07,0.0004239332,6.916717e-08,2.5196652e-08,4.2324518e-07,
425,1.5275524,2.473512,2.1270564,,44785,19351,,5.148821e-07,8.666805e-06,1.3172676e-06,5.8142987e-08,1.15167595e-05,,6.2746744e-07,1.6001864e-05,1.6511506e-06,7.789325e-08,1.3267763e-05,
426,2.0555906,3.3008602,2.5591,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763395e-07,1.8515568e-05,,8.7940373e-07,5.8982515e-12,1.3869663e-07,1.1534264e-06,1.6958451e-05,
427,1.6858054,2.0026767,3.145603,,5835,30933,,9.864217e-09,9.652672e-10,2.4124237e-08,2.1689873e-07,2.132943e-05,,1.08475895e-08,1.9873814e-09,3.6982e-08,2.1097655e-07,3.258738e-05,
428,2.6748834,4.43646,18.710785,,44386,25998,,3.874492e-07,5.80124e-09,1.9377795e-08,3.8522865e-09,2.8726134e-11,,4.6513307e-07,1.1596787e-08,4.3176435e-08,8.549452e-09,2.688762e-10,
429,1.1409392,9.413799,4.564756,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,9.927544e-06,7.8071927e-10,5.160167e-06,1.7704204e-08,3.7469377e-07,
430,1.3248502,2.9235353,2.7483547,,47903,27072,,9.864217e-09,4.879128e-07,5.772929e-07,1.4590094e-09,1.10074865e-07,,1.08475895e-08,6.541021e-07,6.9549236e-07,3.1817287e-09,2.2566158e-07,
431,4.7023296,6.7939487,12.792437,,38093,50155,,3.687785e-07,3.054984e-06,4.2403983e-09,1.1824111e-09,3.989001e-11,,5.339902e-07,5.752654e-06,1.3770574e-08,4.266104e-09,2.7099303e-10,
432,1.849448,5.520518,12.775738,,23287,8115,,2.7900478e-07,1.4238076e-06,2.4107621e-06,8.225869e-09,4.1915433e-11,,4.6024581e-07,2.887257e-06,2.702827e-06,2.2393781e-08,2.6407407e-10,
433,0.9398556,2.2216074,2.9348946,,19529,650,,1.0932107e-05,9.150483e-06,1.992367e-06,8.382823e-07,6.5606134e-09,,8.1181915e-06,1.490024e-05,2.5215934e-06,1.1436902e-06,1.1824634e-08,
434,0.84570235,1.9684957,3.6273513,,19351,44785,,6.139371e-07,3.3551906e-08,1.7156249e-06,1.7396867e-05,4.627912e-07,,5.595645e-07,7.544391e-08,1.591892e-06,1.52299535e-05,7.465652e-07,
435,2.8907087,0.8558517,2.2791555,,47249,224,,3.832012e-07,8.132384e-09,1.9003467e-06,1.1339181e-05,0.00013969524,,7.866963e-07,1.3809064e-08,2.67582e-06,5.715231e-06,0.0001875034,
436,5.1404247,2.9003212,2.4981298,,40516,35147,,1.4461878e-07,1.9895172e-06,1.308441e-07,3.949772e-07,1.2326028e-07,,2.913903e-07,2.6801667e-06,3.338126e-07,8.5036237e-07,2.2857253e-07,
437,1.2313305,8.323102,4.367251,,42859,48162,,2.1338574e-06,6.461716e-09,1.3578996e-05,2.5570918e-10,4.665606e-08,,2.4384794e-06,1.7139545e-08,1.4631491e-05,8.0238005e-10,7.681832e-08,
438,3.219242,2.3584912,6.0880523,,982,19529,,8.706194e-08,4.929484e-07,2.0436134e-07,3.5449086e-06,9.063574e-10,,2.2164183e-07,1.1042639e-06,2.5842172e-07,3.7322259e-06,2.4632383e-09,
439,1.4594895,8.827658,11.041191,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.6749202e-07,8.821915e-08,9.370775e-06,2.7998817e-07,3.9395897e-07,
440,1.9685493,4.1970015,5.1451163,,8980,91,,6.8342865e-07,0.00020635292,4.5211493e-08,1.23336195e-08,1.6899881e-07,,8.7940373e-07,0.0004239332,6.916717e-08,2.5196652e-08,4.2324518e-07,
441,1.5275524,2.473512,2.1270564,,44785,19351,,5.148821e-07,8.666805e-06,1.3172676e-06,5.8142987e-08,1.15167595e-05,,6.2746744e-07,1.6001864e-05,1.6511506e-06,7.789325e-08,1.3267763e-05,
442,2.0555906,3.3008602,2.5591,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763395e-07,1.8515568e-05,,8.7940373e-07,5.8982515e-12,1.3869663e-07,1.1534264e-06,1.6958451e-05,
443,1.6858054,2.0026767,3.145603,,5835,30933,,9.864217e-09,9.652672e-10,2.4124237e-08,2.1689873e-07,2.132943e-05,,1.08475895e-08,1.9873814e-09,3.6982e-08,2.1097655e-07,3.258738e-05,
444,2.6748834,4.43646,18.710785,,44386,25998,,3.874492e-07,5.80124e-09,1.9377795e-08,3.8522865e-09,2.8726134e-11,,4.6513307e-07,1.1596787e-08,4.3176435e-08,8.549452e-09,2.688762e-10,
445,1.1409392,9.413799,4.564756,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,9.927544e-06,7.8071927e-10,5.160167e-06,1.7704204e-08,3.7469377e-07,
446,1.3248502,2.9235353,2.7483547,,47903,27072,,9.864217e-09,4.879128e-07,5.772929e-07,1.4590094e-09,1.10074865e-07,,1.08475895e-08,6.541021e-07,6.9549236e-07,3.1817287e-09,2.2566158e-07,
447,4.7023296,6.7939487,12.792437,,38093,50155,,3.687785e-07,3.054984e-06,4.2403983e-09,1.1824111e-09,3.989001e-11,,5.339902e-07,5.752654e-06,1.3770574e-08,4.266104e-09,2.7099303e-10,
448,1.849448,5.520518,12.775738,,23287,8115,,2.7900478e-07,1.4238076e-06,2.4107621e-06,8.225869e-09,4.1915433e-11,,4.6024581e-07,2.887257e-06,2.702827e-06,2.2393781e-08,2.6407407e-10,
449,0.9398556,2.2216074,2.9348946,,19529,650,,1.0932107e-05,9.150483e-06,1.992367e-06,8.382823e-07,6.5606134e-09,,8.1181915e-06,1.490024e-05,2.5215934e-06,1.1436902e-06,1.1824634e-08,
450,0.84570235,1.9684957,3.6273513,,19351,44785,,6.139371e-07,3.3551906e-08,1.7156249e-06,1.7396867e-05,4.627912e-07,,5.595645e-07,7.544391e-08,1.591892e-06,1.52299535e-05,7.465652e-07,
451,2.8907087,0.8558517,2.2791555,,47249,224,,3.832012e-07,8.132384e-09,1.9003467e-06,1.1339181e-05,0.00013969524,,7.866963e-07,1.3809064e-08,2.67582e-06,5.715231e-06,0.0001875034,
452,5.1404247,2.9003212,2.4981298,,40516,35147,,1.4461878e-07,1.9895172e-06,1.308441e-07,3.949772e-07,1.2326028e-07,,2.913903e-07,2.6801667e-06,3.338126e-07,8.5036237e-07,2.2857253e-07,
453,1.2313305,8.323102,4.367251,,42859,48162,,2.1338574e-06,6.461716e-09,1.3578996e-05,2.5570918e-10,4.665606e-08,,2.4384794e-06,1.7139545e-08,1.4631491e-05,8.0238005e-10,7.681832e-08,
454,3.219242,2.3584912,6.0880523,,982,19529,,8.706194e-08,4.929484e-07,2.0436134e-07,3.5449086e-06,9.063574e-10,,2.2164183e-07,1.1042639e-06,2.5842172e-07,3.7322259e-06,2.4632383e-09,
455,1.4594895,8.827658,11.041191,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.6749202e-07,8.821915e-08,9.370775e-06,2.7998817e-07,3.9395897e-07,
456,1.9685493,4.1970015,5.1451163,,8980,91,,6.8342865e-07,0.00020635292,4.5211493e-08,1.23336195e-08,1.6899881e-07,,8.7940373e-07,0.0004239332,6.916717e-08,2.5196652e-08,4.2324518e-07,
457,1.5275524,2.473512,2.1270564,,44785,19351,,5.148821e-07,8.666805e-06,1.3172676e-06,5.8142987e-08,1.15167595e-05,,6.2746744e-07,1.6001864e-05,1.6511506e-06,7.789325e-08,1.3267763e-05,
